plan_id,status,output_visible_cycles,final_ack_cycles,quiescent_cycles,payload_router_byte_hops,full_protocol_flit_hops,dependency_only_DAG_ticks
p0024,valid,2253.777777777778,2373.777777777778,2389.777777777778,108544,4584,42392
p0025,valid,2417.777777777778,2537.777777777778,2553.777777777778,108544,4584,42392
p0026,valid,2285.777777777778,2405.777777777778,2421.777777777778,108544,4584,43544
p0027,valid,2449.777777777778,2569.777777777778,2585.777777777778,108544,4584,43544
p0028,valid,2317.777777777778,2437.777777777778,2453.777777777778,108544,4584,44696
p0029,valid,2481.777777777778,2601.777777777778,2617.777777777778,108544,4584,44696
p0030,valid,2271.777777777778,2391.777777777778,2407.777777777778,112640,4712,43040
p0031,valid,2434.4444444444443,2554.4444444444443,2570.4444444444443,112640,4712,43040
p0032,valid,2303.777777777778,2423.777777777778,2439.777777777778,112640,4712,44192
p0033,valid,2466.4444444444443,2586.4444444444443,2602.4444444444443,112640,4712,44192
p0034,valid,2335.777777777778,2455.777777777778,2471.777777777778,112640,4712,45344
p0035,valid,2498.4444444444443,2618.4444444444443,2634.4444444444443,112640,4712,45344
p0036,valid,2418.3333333333335,2547.3333333333335,2563.3333333333335,157696,6120,48224
p0037,valid,2577.0,2706.0,2722.0,157696,6120,48224
p0038,valid,2450.3333333333335,2579.3333333333335,2595.3333333333335,157696,6120,49376
p0039,valid,2609.0,2738.0,2754.0,157696,6120,49376
p0040,valid,2482.3333333333335,2611.3333333333335,2627.3333333333335,157696,6120,50528
p0041,valid,2641.0,2770.0,2786.0,157696,6120,50528
