config,group,case,target,mode,policy,n,latency_mean,latency_p95,paired_reduction_pct,ci95_low,ci95_high,tasks,sram_high_water_bytes,search_unique,search_budget_exhausted
qwen35_full_decode__dma16__service,hardware_sensitivity,qwen35_full_decode,dma16,service,H2,32,15979.152310921061,18731.062556819237,-4.08610713743651,-4.2488238493030845,-3.923390425569936,32,148736,150,True
qwen35_full_decode__dma64__service,hardware_sensitivity,qwen35_full_decode,dma64,service,S8,32,5486.6827103585965,6167.038385225631,-9.071726287230064,-9.747349582282927,-8.3961029921772,32,148736,150,True
qwen35_full_decode__dma64__service,hardware_sensitivity,qwen35_full_decode,dma64,service,S,32,5031.204417950633,5626.519495283954,0.0,0.0,0.0,32,148736,150,True
qwen35_full_decode__dma64__service,hardware_sensitivity,qwen35_full_decode,dma64,service,B0,32,5487.0889603585965,6167.038385225631,-9.07971132398484,-9.755979259275486,-8.403443388694194,32,148736,150,True
qwen35_full_decode__dma64__service,hardware_sensitivity,qwen35_full_decode,dma64,service,B2,32,5533.0889603585965,6213.038385225631,-9.998495285742992,-10.678817969188287,-9.318172602297697,32,148736,150,True
qwen35_full_decode__dma64__service,hardware_sensitivity,qwen35_full_decode,dma64,service,B8,32,5671.0889603585965,6351.038385225631,-12.754847171017452,-13.45169609675237,-12.057998245282535,32,148736,150,True
qwen35_full_decode__dma64__service,hardware_sensitivity,qwen35_full_decode,dma64,service,H2,32,5533.0889603585965,6213.038385225631,-9.998495285742992,-10.678817969188287,-9.318172602297697,32,148736,150,True
qwen35_full_decode__sram_one_port__service,hardware_sensitivity,qwen35_full_decode,sram_one_port,service,S8,32,10954.249145835684,12325.245089514572,0.0,0.0,0.0,32,148736,152,True
qwen35_full_decode__sram_one_port__service,hardware_sensitivity,qwen35_full_decode,sram_one_port,service,S,32,10954.249145835684,12325.245089514572,0.0,0.0,0.0,32,148736,152,True
qwen35_full_decode__sram_one_port__service,hardware_sensitivity,qwen35_full_decode,sram_one_port,service,B0,32,10954.249145835685,12325.245089514572,-2.6611798312434314e-15,-5.253075854266865e-15,-6.9283808219998e-17,32,148736,152,True
qwen35_full_decode__sram_one_port__service,hardware_sensitivity,qwen35_full_decode,sram_one_port,service,B2,32,11018.249145835685,12389.245089514572,-0.5879415017460806,-0.604507292478986,-0.5713757110131752,32,148736,152,True
qwen35_full_decode__sram_one_port__service,hardware_sensitivity,qwen35_full_decode,sram_one_port,service,B8,32,11210.249145835685,12581.245089514572,-2.351766006984314,-2.418029169915935,-2.285502844052693,32,148736,152,True
qwen35_full_decode__sram_one_port__service,hardware_sensitivity,qwen35_full_decode,sram_one_port,service,H2,32,11018.249145835685,12389.245089514572,-0.5879415017460806,-0.604507292478986,-0.5713757110131752,32,148736,152,True
qwen35_full_decode__one_operand_slot__service,hardware_sensitivity,qwen35_full_decode,one_operand_slot,service,S8,32,8497.342607085095,9791.245089514572,-0.7333914293027497,-0.8139009598122827,-0.6528818987932167,32,102656,139,True
qwen35_full_decode__one_operand_slot__service,hardware_sensitivity,qwen35_full_decode,one_operand_slot,service,S,32,8435.510195464785,9733.288443842008,0.0,0.0,0.0,32,102656,139,True
qwen35_full_decode__one_operand_slot__service,hardware_sensitivity,qwen35_full_decode,one_operand_slot,service,B0,32,8497.342607085095,9791.245089514572,-0.7333914293027497,-0.8139009598122827,-0.6528818987932167,32,102656,139,True
qwen35_full_decode__one_operand_slot__service,hardware_sensitivity,qwen35_full_decode,one_operand_slot,service,B2,32,8530.030107085095,9823.245089514572,-1.1249990748533492,-1.2061446462656467,-1.0438535034410517,32,102656,139,True
qwen35_full_decode__one_operand_slot__service,hardware_sensitivity,qwen35_full_decode,one_operand_slot,service,B8,32,8628.092607085095,9919.245089514572,-2.2998220115051478,-2.398813171025179,-2.2008308519851165,32,102656,139,True
qwen35_full_decode__one_operand_slot__service,hardware_sensitivity,qwen35_full_decode,one_operand_slot,service,H2,32,8530.030107085095,9823.245089514572,-1.1249990748533492,-1.2061446462656467,-1.0438535034410517,32,102656,139,True
qwen35_full_decode__four_operand_slots__service,hardware_sensitivity,qwen35_full_decode,four_operand_slots,service,S8,32,8799.929893971144,10159.995089514572,-5.357277929025621,-5.553121651228467,-5.161434206822775,32,171456,152,True
qwen35_full_decode__four_operand_slots__service,hardware_sensitivity,qwen35_full_decode,four_operand_slots,service,S,32,8356.502619770268,9713.245089514572,0.0,0.0,0.0,32,171456,152,True
qwen35_full_decode__four_operand_slots__service,hardware_sensitivity,qwen35_full_decode,four_operand_slots,service,B0,32,8794.342895835685,10162.995089514572,-5.2802414378059215,-5.4694789657958784,-5.0910039098159645,32,171456,152,True
qwen35_full_decode__four_operand_slots__service,hardware_sensitivity,qwen35_full_decode,four_operand_slots,service,B2,32,8838.467895835685,10206.995089514572,-5.814088535398983,-6.017428511987174,-5.6107485588107915,32,171456,152,True
qwen35_full_decode__four_operand_slots__service,hardware_sensitivity,qwen35_full_decode,four_operand_slots,service,B8,32,8970.842895835685,10338.995089514572,-7.415629828178166,-7.666623559495623,-7.1646360968607095,32,171456,152,True
qwen35_full_decode__four_operand_slots__service,hardware_sensitivity,qwen35_full_decode,four_operand_slots,service,H2,32,8838.467895835685,10206.995089514572,-5.814088535398983,-6.017428511987174,-5.6107485588107915,32,171456,152,True
qwen35_full_decode__sram2MiB__service,hardware_sensitivity,qwen35_full_decode,sram2MiB,service,S8,32,8887.747386912355,10257.593196578113,-6.902822315192692,-7.134542207950323,-6.671102422435061,32,148736,150,True
qwen35_full_decode__sram2MiB__service,hardware_sensitivity,qwen35_full_decode,sram2MiB,service,S,32,8318.54521197394,9673.745089514572,0.0,0.0,0.0,32,148736,150,True
qwen35_full_decode__sram2MiB__service,hardware_sensitivity,qwen35_full_decode,sram2MiB,service,B0,32,8882.57938484923,10257.593196578113,-6.8324157430036925,-7.074822693468186,-6.590008792539199,32,148736,150,True
qwen35_full_decode__sram2MiB__service,hardware_sensitivity,qwen35_full_decode,sram2MiB,service,B2,32,8928.57938484923,10303.593196578113,-7.391262040847865,-7.648631926282428,-7.133892155413302,32,148736,150,True
qwen35_full_decode__sram2MiB__service,hardware_sensitivity,qwen35_full_decode,sram2MiB,service,B8,32,9066.57938484923,10441.593196578113,-9.067800934380383,-9.37384621511685,-8.761755653643917,32,148736,150,True
qwen35_full_decode__sram2MiB__service,hardware_sensitivity,qwen35_full_decode,sram2MiB,service,H2,32,8928.57938484923,10303.593196578113,-7.391262040847865,-7.648631926282428,-7.133892155413302,32,148736,150,True
qwen35_full_decode__sram8MiB__service,hardware_sensitivity,qwen35_full_decode,sram8MiB,service,S8,32,8887.747386912355,10257.593196578113,-6.902822315192692,-7.134542207950323,-6.671102422435061,32,148736,150,True
qwen35_full_decode__sram8MiB__service,hardware_sensitivity,qwen35_full_decode,sram8MiB,service,S,32,8318.54521197394,9673.745089514572,0.0,0.0,0.0,32,148736,150,True
qwen35_full_decode__sram8MiB__service,hardware_sensitivity,qwen35_full_decode,sram8MiB,service,B0,32,8882.57938484923,10257.593196578113,-6.8324157430036925,-7.074822693468186,-6.590008792539199,32,148736,150,True
qwen35_full_decode__sram8MiB__service,hardware_sensitivity,qwen35_full_decode,sram8MiB,service,B2,32,8928.57938484923,10303.593196578113,-7.391262040847865,-7.648631926282428,-7.133892155413302,32,148736,150,True
qwen35_full_decode__sram8MiB__service,hardware_sensitivity,qwen35_full_decode,sram8MiB,service,B8,32,9066.57938484923,10441.593196578113,-9.067800934380383,-9.37384621511685,-8.761755653643917,32,148736,150,True
qwen35_full_decode__sram8MiB__service,hardware_sensitivity,qwen35_full_decode,sram8MiB,service,H2,32,8928.57938484923,10303.593196578113,-7.391262040847865,-7.648631926282428,-7.133892155413302,32,148736,150,True
qwen35_linear_decode__two_core__deterministic,main,qwen35_linear_decode,two_core,deterministic,S8,32,9788.5,9788.5,-6.379394663913493,-6.379394663913493,-6.379394663913493,30,196032,152,True
qwen35_linear_decode__two_core__deterministic,main,qwen35_linear_decode,two_core,deterministic,S,32,9201.5,9201.5,0.0,0.0,0.0,30,196032,152,True
qwen35_linear_decode__two_core__deterministic,main,qwen35_linear_decode,two_core,deterministic,B0,32,9788.5,9788.5,-6.379394663913493,-6.379394663913493,-6.379394663913493,30,196032,152,True
qwen35_linear_decode__two_core__deterministic,main,qwen35_linear_decode,two_core,deterministic,B2,32,9824.5,9824.5,-6.7706352225180675,-6.7706352225180675,-6.7706352225180675,30,196032,152,True
qwen35_linear_decode__two_core__deterministic,main,qwen35_linear_decode,two_core,deterministic,B8,32,9932.5,9932.5,-7.944356898331794,-7.944356898331794,-7.944356898331794,30,196032,152,True
qwen35_linear_decode__two_core__deterministic,main,qwen35_linear_decode,two_core,deterministic,H2,32,9824.5,9824.5,-6.7706352225180675,-6.7706352225180675,-6.7706352225180675,30,196032,152,True
qwen35_linear_decode__two_core__service,main,qwen35_linear_decode,two_core,service,S8,32,9864.569703219218,11756.17088389384,-5.129721677471462,-5.633647600333557,-4.625795754609367,30,196032,152,True
qwen35_linear_decode__two_core__service,main,qwen35_linear_decode,two_core,service,S,32,9386.91919199558,11477.838113974345,0.0,0.0,0.0,30,196032,152,True
qwen35_linear_decode__two_core__service,main,qwen35_linear_decode,two_core,service,B0,32,9864.538453219218,11756.17088389384,-5.1293310612080125,-5.6334074948495525,-4.6252546275664725,30,196032,152,True
qwen35_linear_decode__two_core__service,main,qwen35_linear_decode,two_core,service,B2,32,9900.75526429053,11792.17088389384,-5.519658895667791,-6.0264997387608785,-5.012818052574704,30,196032,152,True
qwen35_linear_decode__two_core__service,main,qwen35_linear_decode,two_core,service,B8,32,10009.535299550682,11900.17088389384,-6.692173986846024,-7.20955046257754,-6.174797511114508,30,196032,152,True
qwen35_linear_decode__two_core__service,main,qwen35_linear_decode,two_core,service,H2,32,9900.75526429053,11792.17088389384,-5.519658895667791,-6.0264997387608785,-5.012818052574704,30,196032,152,True
qwen35_linear_decode__two_core__calendar,main,qwen35_linear_decode,two_core,calendar,S8,32,14306.898637801418,14387.327052367868,-3.99566289753029,-4.0648905811392515,-3.926435213921328,30,196032,152,True
qwen35_linear_decode__two_core__calendar,main,qwen35_linear_decode,two_core,calendar,S,32,13757.208637358533,13807.500000000004,0.0,0.0,0.0,30,196032,152,True
qwen35_linear_decode__two_core__calendar,main,qwen35_linear_decode,two_core,calendar,B0,32,14306.898637801418,14387.327052367868,-3.99566289753029,-4.0648905811392515,-3.926435213921328,30,196032,152,True
qwen35_linear_decode__two_core__calendar,main,qwen35_linear_decode,two_core,calendar,B2,32,14339.803547040236,14411.561206522672,-4.234949788859745,-4.328196050148067,-4.141703527571423,30,196032,152,True
qwen35_linear_decode__two_core__calendar,main,qwen35_linear_decode,two_core,calendar,B8,32,14416.755355718595,14484.452106961578,-4.7949989999829175,-4.947520450225317,-4.6424775497405175,30,196032,152,True
qwen35_linear_decode__two_core__calendar,main,qwen35_linear_decode,two_core,calendar,H2,32,14339.803547040236,14411.561206522672,-4.234949788859745,-4.328196050148067,-4.141703527571423,30,196032,152,True
qwen35_linear_decode__two_core__combined,main,qwen35_linear_decode,two_core,combined,S8,32,14385.109313548497,17397.627198190352,-4.330602209500042,-4.59398486467646,-4.067219554323624,30,196032,152,True
qwen35_linear_decode__two_core__combined,main,qwen35_linear_decode,two_core,combined,S,32,13795.733426899058,16876.297938228126,0.0,0.0,0.0,30,196032,152,True
qwen35_linear_decode__two_core__combined,main,qwen35_linear_decode,two_core,combined,B0,32,14385.109313548497,17397.627198190352,-4.330602209500042,-4.59398486467646,-4.067219554323624,30,196032,152,True
qwen35_linear_decode__two_core__combined,main,qwen35_linear_decode,two_core,combined,B2,32,14421.164914724313,17450.12719819035,-4.592078357931241,-4.851829156767002,-4.3323275590954795,30,196032,152,True
