window,common_cost,extra_dynamic_dispatch,static_expected,dynamic_expected,reduction_pct,static_state_bits,dynamic_state_bits,descriptor_bytes,exhaustive_static_contracts,admission
4,0,8,150.0,156.0,-4.0,403,412,234,6,load0|load1|vpu0|vpu1
4,0,16,150.0,172.0,-14.666666666666666,403,412,234,6,load0|load1|vpu0|vpu1
4,1,0,154.0,143.5,6.818181818181818,403,412,234,6,load0|load1|vpu0|vpu1
4,1,1,154.0,145.5,5.51948051948052,403,412,234,6,load0|load1|vpu0|vpu1
4,1,2,154.0,147.5,4.220779220779221,403,412,234,6,load0|load1|vpu0|vpu1
4,1,4,154.0,151.5,1.6233766233766234,403,412,234,6,load0|load1|vpu0|vpu1
4,1,8,154.0,159.5,-3.5714285714285716,403,412,234,6,load0|load1|vpu0|vpu1
4,1,16,154.0,175.5,-13.96103896103896,403,412,234,6,load0|load1|vpu0|vpu1
4,2,0,158.0,147.0,6.962025316455696,403,412,234,6,load0|load1|vpu0|vpu1
4,2,1,158.0,149.0,5.69620253164557,403,412,234,6,load0|load1|vpu0|vpu1
4,2,2,158.0,151.0,4.430379746835443,403,412,234,6,load0|load1|vpu0|vpu1
4,2,4,158.0,155.0,1.8987341772151898,403,412,234,6,load0|load1|vpu0|vpu1
4,2,8,158.0,163.0,-3.1645569620253164,403,412,234,6,load0|load1|vpu0|vpu1
4,2,16,158.0,179.0,-13.291139240506329,403,412,234,6,load0|load1|vpu0|vpu1
